年纪,语文,数学,英语,物理,化学,生物,历史,综合,等级
高三,88,71,82,86,83,95,66,83.0,丙
高一,61,52,95,77,88,86,85,85.0,乙
高三,52,76,65,53,99,87,96,76.0,丙
高三,73,84,85,51,96,82,79,82.0,丙
高一,52,92,96,88,59,88,90,88.0,乙
高一,95,82,92,84,94,84,96,92.0,甲
高一,64,51,78,82,68,77,91,77.0,丙
高二,85,93,83,94,92,83,72,85.0,乙
高一,74,85,93,60,68,76,100,76.0,丙
高二,72,60,80,67,91,55,87,72.0,丙
高三,62,80,93,80,67,71,76,76.0,丙
高二,97,94,77,65,67,67,70,70.0,丙
高一,69,87,60,82,60,78,71,71.0,丙
高二,88,57,68,55,85,74,68,68.0,丙
高一,89,74,68,57,94,57,87,74.0,丙
高二,69,87,84,50,57,78,98,78.0,丙
高一,89,66,92,91,60,65,90,89.0,乙
高一,71,98,66,73,90,83,70,73.0,丙
高三,63,73,84,88,86,75,100,84.0,丙
高三,51,88,82,89,78,83,61,82.0,丙
高二,68,58,93,79,82,94,94,82.0,丙
高三,58,85,97,55,67,91,77,77.0,丙
高一,69,92,98,98,80,83,87,87.0,乙
高一,64,65,92,95,69,51,83,69.0,丙
高二,88,72,61,96,81,57,94,81.0,丙
高三,76,53,92,88,91,95,66,88.0,乙
高一,60,58,98,78,86,54,83,78.0,丙
高二,61,98,100,88,56,74,86,86.0,乙
高三,82,61,85,94,55,80,78,80.0,丙
高一,58,72,50,86,72,94,73,72.0,丙
高三,55,53,78,90,72,72,81,72.0,丙
高一,78,57,83,100,69,58,65,69.0,丙
高一,90,79,65,99,58,100,61,79.0,丙
高二,83,93,66,88,85,51,54,83.0,丙
高一,79,57,50,83,91,63,60,63.0,丙
高三,94,61,89,79,66,98,72,79.0,丙
高二,65,51,74,61,76,79,54,65.0,丙
高二,67,73,88,69,84,73,50,73.0,丙
高三,87,97,98,73,77,71,97,87.0,乙
高三,80,67,63,94,79,99,84,80.0,丙
高二,95,71,94,53,98,66,83,83.0,丙
高二,71,100,92,73,50,67,70,71.0,丙
高二,50,94,69,54,82,91,55,69.0,丙
高二,88,51,74,54,63,67,75,67.0,丙
高三,91,97,75,98,92,73,57,91.0,甲
高二,62,54,57,94,63,84,61,62.0,丙
高二,92,92,88,62,81,93,57,88.0,乙
高二,67,99,74,92,71,91,82,82.0,丙
高二,98,87,87,81,82,67,59,82.0,丙
高二,52,76,54,52,79,57,87,57.0,丁
高一,52,85,68,55,74,64,80,68.0,丙
高三,64,79,93,93,67,91,73,79.0,丙
高二,90,96,66,55,67,69,97,69.0,丙
高一,91,97,72,75,66,85,65,75.0,丙
高二,60,60,75,92,64,84,68,68.0,丙
高一,84,55,60,52,71,80,79,71.0,丙
高一,84,75,99,99,71,60,100,84.0,丙
高三,55,53,95,68,54,53,80,55.0,丁
高三,57,94,52,59,62,79,55,59.0,丁
高一,83,80,58,73,62,61,52,62.0,丙
高三,71,59,61,65,57,96,72,65.0,丙
高二,67,66,99,77,95,77,69,77.0,丙
高一,100,75,53,76,76,86,54,76.0,丙
高二,59,54,94,89,74,92,72,74.0,丙
高二,89,88,63,80,95,74,100,88.0,乙
高三,65,99,96,68,84,70,98,84.0,丙
高一,98,75,83,67,65,57,67,67.0,丙
高一,84,84,69,63,68,71,76,71.0,丙
高二,76,88,70,99,77,68,70,76.0,丙
高一,94,100,57,95,88,67,65,88.0,乙
高一,79,90,95,73,58,91,87,87.0,乙
高一,92,74,50,83,60,83,91,83.0,丙
高二,57,76,81,76,88,66,99,76.0,丙
高一,78,67,55,70,78,89,55,70.0,丙
高三,87,81,83,87,94,74,66,83.0,丙
高二,68,61,98,50,95,73,89,73.0,丙
高一,61,85,73,79,69,66,59,69.0,丙
高二,89,65,58,94,68,67,57,67.0,丙
高一,58,52,62,63,71,82,56,62.0,丙
高二,83,84,74,77,58,89,58,77.0,丙
高一,81,65,65,96,65,82,100,81.0,丙
高一,85,65,69,52,64,83,84,69.0,丙
高二,69,75,90,94,82,82,90,82.0,丙
高二,77,76,69,70,89,66,57,70.0,丙
高三,71,70,50,90,61,90,86,71.0,丙
高一,51,65,67,60,52,81,59,60.0,丙
高三,88,86,96,64,80,92,77,86.0,乙
高一,67,62,64,50,53,86,84,64.0,丙
高三,85,67,74,51,93,59,89,74.0,丙
高三,68,67,98,76,56,92,71,71.0,丙
高一,62,77,64,82,66,65,66,66.0,丙
高三,72,81,55,54,100,80,51,72.0,丙
高三,95,62,50,89,98,89,90,89.0,乙
高二,52,98,96,84,62,95,64,84.0,丙
高一,58,56,75,91,92,71,93,75.0,丙
高一,52,73,100,81,53,97,68,73.0,丙
高一,92,81,58,65,68,93,55,68.0,丙
高一,80,81,62,69,66,71,87,71.0,丙
高二,58,51,79,92,84,89,74,79.0,丙
高三,96,81,66,64,76,95,69,76.0,丙
高二,89,83,55,72,70,62,64,70.0,丙
高三,77,88,61,72,63,86,98,77.0,丙
高三,88,60,63,86,99,91,87,87.0,乙
高一,55,88,58,84,58,63,54,58.0,丁
高三,74,94,98,87,70,71,100,87.0,乙
高三,61,53,98,93,64,60,92,64.0,丙
高二,57,55,77,59,64,56,88,59.0,丁
高一,52,73,77,73,70,85,53,73.0,丙
高一,53,80,65,88,65,53,75,65.0,丙
高三,55,75,52,78,89,100,66,75.0,丙
高二,66,97,98,77,57,83,56,77.0,丙
高一,67,81,71,56,64,72,91,71.0,丙
高三,97,91,61,74,50,50,60,61.0,丙
高二,58,59,89,58,63,95,100,63.0,丙
高三,76,74,65,66,53,72,57,66.0,丙
高一,52,61,95,82,65,89,89,82.0,丙
高二,74,85,87,82,55,87,63,82.0,丙
高二,50,82,86,68,55,68,99,68.0,丙
高三,53,65,99,68,95,94,98,94.0,甲
高二,97,93,53,71,52,70,53,70.0,丙
高二,90,96,69,60,81,76,53,76.0,丙
高二,67,64,98,63,87,95,81,81.0,丙
高三,68,96,91,51,87,91,73,87.0,乙
高二,79,85,81,83,68,81,93,81.0,丙
高二,64,73,96,86,68,90,58,73.0,丙
高一,98,63,51,74,74,59,59,63.0,丙
高二,97,73,66,50,69,71,62,69.0,丙
高一,51,56,72,53,71,99,87,71.0,丙
高一,57,90,53,75,77,93,63,75.0,丙
高二,91,52,64,52,88,61,81,64.0,丙
高三,66,51,76,96,94,73,80,76.0,丙
高二,64,70,67,83,66,78,55,67.0,丙
高三,61,81,83,82,78,62,80,80.0,丙
高二,68,92,52,95,78,72,91,78.0,丙
高二,68,77,57,96,51,89,55,68.0,丙
高二,53,61,56,94,72,98,72,72.0,丙
高一,51,93,61,63,64,54,72,63.0,丙
高一,72,69,69,78,75,100,90,75.0,丙
高二,53,76,83,94,100,64,53,76.0,丙
高二,89,66,73,97,99,72,90,89.0,乙
高三,95,87,75,93,94,90,91,91.0,甲
高一,56,93,87,58,58,68,74,68.0,丙
高三,76,87,53,77,79,91,83,79.0,丙
高二,87,74,86,80,57,95,70,80.0,丙
高三,52,99,87,90,57,52,80,80.0,丙
高一,50,87,53,67,69,64,94,67.0,丙
高三,80,56,79,83,71,59,60,71.0,丙
高二,76,99,53,57,52,91,89,76.0,丙
高二,98,70,93,93,77,99,54,93.0,甲
高三,55,86,61,81,67,54,100,67.0,丙
高二,80,88,55,79,87,99,83,83.0,丙
高二,94,93,89,66,88,82,99,89.0,乙
高一,56,50,83,55,59,74,53,56.0,丁
高一,54,62,51,74,79,93,74,74.0,丙
高三,88,58,62,63,82,82,100,82.0,丙
高三,91,75,75,53,55,96,68,75.0,丙
高二,51,82,82,59,62,90,76,76.0,丙
高一,97,83,53,84,58,62,88,83.0,丙
高三,95,67,77,73,82,98,75,77.0,丙
高二,60,54,56,56,94,84,94,60.0,丙
高一,73,71,80,100,73,97,74,74.0,丙
高二,63,93,72,64,88,97,64,72.0,丙
高二,65,65,62,88,52,50,69,65.0,丙
高三,87,90,80,86,95,58,81,86.0,乙
高一,96,60,80,66,97,85,83,83.0,丙
高三,51,60,76,82,76,62,93,76.0,丙
高二,91,57,96,73,78,64,99,78.0,丙
高一,59,58,65,70,83,68,88,68.0,丙
高一,77,95,63,62,85,60,96,77.0,丙
高一,68,87,67,79,100,87,100,87.0,乙
高二,65,87,93,55,59,86,56,65.0,丙
高一,75,55,76,77,95,69,82,76.0,丙
高三,81,73,57,91,71,60,63,71.0,丙
高一,68,61,87,70,81,67,92,70.0,丙
高三,85,68,59,69,52,84,71,69.0,丙
高一,100,96,51,76,92,83,61,83.0,丙
高一,60,84,71,82,91,63,52,71.0,丙
高二,58,58,52,58,95,65,69,58.0,丁
高一,89,94,59,77,79,88,82,82.0,丙
高二,65,76,79,55,69,66,79,69.0,丙
高三,86,62,70,83,70,85,80,80.0,丙
高三,79,80,83,71,57,59,89,79.0,丙
高一,100,51,98,70,79,63,55,70.0,丙
高一,54,89,50,50,95,66,69,66.0,丙
高二,75,53,61,80,80,91,81,80.0,丙
高二,73,98,64,61,75,82,72,73.0,丙
高二,67,50,69,51,61,90,73,67.0,丙
高三,88,61,81,75,74,59,79,75.0,丙
高一,64,72,94,75,58,73,57,72.0,丙
高一,71,68,92,99,79,60,98,79.0,丙
高一,93,72,58,50,82,98,77,77.0,丙
高二,61,90,53,95,78,94,93,90.0,甲
高一,56,90,64,67,58,75,73,67.0,丙
高一,66,74,98,67,75,93,82,75.0,丙
高三,75,92,76,85,89,83,65,83.0,丙
高二,61,99,96,73,63,64,79,73.0,丙
高二,85,72,67,91,70,100,92,85.0,乙
高三,66,76,59,94,51,94,84,76.0,丙
高一,63,65,56,91,69,53,92,65.0,丙
高二,75,92,91,55,78,62,82,78.0,丙
高二,58,99,51,58,53,51,88,58.0,丁
高一,79,92,89,80,90,59,71,80.0,丙
高一,71,92,64,69,78,72,56,71.0,丙
高三,61,86,64,51,61,90,54,61.0,丙
高二,88,62,65,62,66,68,51,65.0,丙
高一,87,56,64,76,60,69,87,69.0,丙
高二,99,88,77,87,64,94,91,88.0,乙
高二,65,51,70,66,68,57,84,66.0,丙
高三,67,69,52,75,76,52,54,67.0,丙
高二,83,85,56,60,85,77,50,77.0,丙
高三,100,70,53,77,75,59,92,75.0,丙
高二,97,75,99,71,94,83,52,83.0,丙
高二,84,100,99,72,64,70,53,72.0,丙
高三,83,71,50,57,58,87,54,58.0,丁
高二,93,83,70,71,55,89,81,81.0,丙
高三,83,75,78,94,92,71,61,78.0,丙
高三,81,82,96,70,79,98,100,82.0,丙
高二,76,90,70,95,88,54,89,88.0,乙
高二,66,72,76,66,65,57,59,66.0,丙
高一,53,83,75,97,53,75,93,75.0,丙
高三,55,95,76,90,77,69,66,76.0,丙
高二,78,89,84,54,70,81,76,78.0,丙
高三,63,92,87,88,97,83,77,87.0,乙
高一,91,78,75,58,51,88,54,75.0,丙
高三,93,89,64,98,98,96,51,93.0,甲
高一,71,93,51,57,55,94,75,71.0,丙
高二,93,60,68,50,99,100,84,84.0,丙
高一,91,50,94,78,93,78,77,78.0,丙
高三,50,62,74,84,57,79,91,74.0,丙
高三,88,60,91,67,60,92,62,67.0,丙
高三,76,92,90,67,54,65,67,67.0,丙
高二,76,93,63,53,94,67,54,67.0,丙
高二,59,59,83,68,69,100,86,69.0,丙
高一,56,60,58,50,53,82,63,58.0,丁
高一,74,60,61,97,69,62,100,69.0,丙
高一,95,51,72,68,85,99,69,72.0,丙
高三,67,51,74,86,63,56,63,63.0,丙
高二,69,60,72,79,73,72,79,72.0,丙
高一,66,91,77,96,92,55,65,77.0,丙
高二,100,88,69,92,51,55,81,81.0,丙
高二,68,100,96,63,84,75,53,75.0,丙
高二,66,83,51,62,91,70,94,70.0,丙
高一,85,58,52,79,70,96,84,79.0,丙
高一,98,89,71,51,59,75,63,71.0,丙
高一,73,72,98,64,89,76,74,74.0,丙
高三,69,64,78,57,87,64,51,64.0,丙
高三,70,60,50,56,87,84,93,70.0,丙
高二,98,85,84,87,55,88,68,85.0,乙
高二,68,96,78,75,86,57,82,78.0,丙
高三,74,63,53,94,55,82,70,70.0,丙
高一,94,68,72,67,51,57,57,67.0,丙
高一,66,57,79,86,90,89,85,85.0,乙
高二,88,77,77,61,65,74,91,77.0,丙
高二,65,99,70,87,51,72,71,71.0,丙
高一,99,66,95,66,90,97,65,90.0,甲
高二,50,60,73,56,85,72,63,63.0,丙
高一,52,68,67,73,59,84,96,68.0,丙
高三,82,96,73,82,89,57,51,82.0,丙
高一,95,55,97,71,70,52,71,71.0,丙
高三,56,60,78,88,74,65,84,74.0,丙
高三,62,68,52,70,56,100,56,62.0,丙
高二,58,68,52,83,75,58,72,68.0,丙
高一,67,96,75,52,98,98,51,75.0,丙
高三,94,83,74,81,58,75,72,75.0,丙
高二,86,76,95,56,73,58,93,76.0,丙
高三,73,80,96,53,78,88,94,80.0,丙
高三,74,53,84,82,53,91,59,74.0,丙
高三,88,92,92,100,95,76,79,92.0,甲
高一,57,53,94,97,68,76,59,68.0,丙
高二,68,53,69,59,86,59,89,68.0,丙
高二,76,91,92,74,65,70,89,76.0,丙
高一,56,66,65,88,95,70,84,70.0,丙
高三,90,54,72,73,59,95,90,73.0,丙
高一,84,100,99,53,84,59,79,84.0,丙
高一,57,72,75,71,82,84,75,75.0,丙
高一,98,70,72,62,98,84,52,72.0,丙
高三,99,92,64,90,84,74,81,84.0,丙
高三,51,54,79,64,64,51,54,54.0,丁
高三,84,77,59,77,55,74,64,74.0,丙
高一,83,67,89,59,76,73,97,76.0,丙
高三,81,56,86,84,75,53,83,81.0,丙
高三,82,52,66,89,80,79,85,80.0,丙
高一,85,89,57,61,69,53,85,69.0,丙
高三,50,90,63,52,73,80,82,73.0,丙
高一,100,63,96,73,85,56,69,73.0,丙
高一,75,58,94,83,75,63,84,75.0,丙
高一,65,95,74,86,66,86,60,74.0,丙
高三,61,68,71,87,98,70,92,71.0,丙
高一,51,77,50,78,75,54,62,62.0,丙
高三,77,100,79,99,55,52,71,77.0,丙
高一,64,53,68,50,77,70,82,68.0,丙
高一,85,66,73,88,55,60,65,66.0,丙
高一,92,84,97,76,51,66,71,76.0,丙
高一,95,55,61,74,90,98,55,74.0,丙
高一,67,59,50,84,52,61,85,61.0,丙
高三,77,83,69,77,74,99,71,77.0,丙
高二,96,62,62,56,52,66,72,62.0,丙
高二,90,83,76,92,84,64,95,84.0,丙
高一,91,61,59,72,80,100,66,72.0,丙
高三,60,89,61,84,76,60,78,76.0,丙
高三,59,93,82,95,53,71,73,73.0,丙
高一,52,99,65,91,50,81,54,65.0,丙
高二,81,68,78,57,76,54,85,76.0,丙
高三,55,51,62,91,61,88,71,62.0,丙
高三,56,82,95,50,79,86,95,82.0,丙
高一,86,71,52,85,50,60,99,71.0,丙
高二,55,74,90,79,54,73,57,73.0,丙
高一,76,73,84,94,62,63,81,76.0,丙
高三,91,68,71,83,71,64,63,71.0,丙
高三,72,62,93,100,67,77,73,73.0,丙
高一,53,56,69,91,87,70,54,69.0,丙
高一,68,85,68,79,93,86,70,79.0,丙
高三,70,92,94,93,69,86,65,86.0,乙
高二,64,56,56,59,73,67,93,64.0,丙
高三,54,89,62,61,94,76,53,62.0,丙
高一,53,73,88,81,66,65,53,66.0,丙
高二,71,54,96,65,50,95,84,71.0,丙
高二,74,50,56,97,58,74,94,74.0,丙
高一,57,85,89,50,81,57,86,81.0,丙
高一,66,53,74,85,70,68,66,68.0,丙
高三,79,67,63,58,59,83,84,67.0,丙
高三,86,95,100,64,93,78,70,86.0,乙
高一,62,75,68,56,87,95,58,68.0,丙
高二,95,97,76,69,80,81,78,80.0,丙
高二,87,51,91,80,94,69,100,87.0,乙
高二,73,84,91,75,53,63,64,73.0,丙
高一,89,60,51,83,86,64,72,72.0,丙
高二,64,52,64,80,90,62,99,64.0,丙
高二,91,94,94,50,57,87,51,87.0,乙
高一,53,51,58,96,64,98,99,64.0,丙
高一,98,96,83,89,80,52,94,89.0,乙
高一,70,69,59,86,90,84,74,74.0,丙
高三,52,98,86,50,95,96,62,86.0,乙
高三,94,52,100,53,76,90,76,76.0,丙
高三,78,54,92,63,98,84,73,78.0,丙
高二,92,82,50,90,58,98,79,82.0,丙
高二,73,84,63,61,94,55,75,73.0,丙
高二,72,74,82,89,72,50,68,72.0,丙
高三,76,85,95,85,93,94,70,85.0,乙
高一,68,53,93,51,88,53,68,68.0,丙
高二,93,70,66,52,50,66,82,66.0,丙
高三,89,52,93,88,55,93,85,88.0,乙
高一,70,50,88,52,67,89,67,67.0,丙
高二,56,99,58,70,87,65,81,70.0,丙
高一,61,89,67,50,86,78,52,67.0,丙
高三,82,91,83,97,73,96,87,87.0,乙
高二,89,57,62,89,85,91,57,85.0,乙
高二,85,71,100,96,62,82,92,85.0,乙
高二,62,60,100,85,61,78,99,78.0,丙
高二,65,62,93,77,80,67,97,77.0,丙
高二,95,51,92,57,62,68,78,68.0,丙
高二,73,65,66,57,72,61,77,66.0,丙
高一,67,51,82,87,73,64,94,73.0,丙
高二,66,66,62,72,92,59,70,66.0,丙
高二,87,88,73,63,99,72,81,81.0,丙
高一,77,83,79,53,98,87,86,83.0,丙
高三,63,50,97,72,95,91,91,91.0,甲
高一,65,91,93,69,83,59,83,83.0,丙
高三,72,55,74,96,91,90,82,82.0,丙
高三,100,58,60,56,79,51,60,60.0,丙
高三,68,100,96,74,84,79,62,79.0,丙
高三,95,81,90,86,76,92,61,86.0,乙
高一,69,59,63,52,83,52,68,63.0,丙
高三,55,52,53,85,57,81,84,57.0,丁
高二,79,84,94,79,81,88,96,84.0,丙
高一,83,85,91,81,69,57,55,81.0,丙
高一,95,74,83,76,51,61,56,74.0,丙
高一,65,92,95,89,51,78,79,79.0,丙
高一,51,82,91,85,90,68,89,85.0,乙
高三,90,65,90,99,92,66,59,90.0,甲
高二,50,59,99,59,89,51,62,59.0,丁
高一,66,73,98,81,80,66,86,80.0,丙
高二,85,76,53,95,69,53,85,76.0,丙
高一,99,78,74,79,74,82,87,79.0,丙
高三,65,68,99,91,85,62,50,68.0,丙
高二,98,73,95,82,74,87,89,87.0,乙
高二,97,65,65,87,69,66,50,66.0,丙
高三,84,52,80,100,79,63,52,79.0,丙
高二,86,71,81,82,89,61,92,82.0,丙
高三,58,73,82,71,69,67,68,69.0,丙
高二,76,59,81,78,72,51,77,76.0,丙
高三,84,86,95,92,54,83,88,86.0,乙
高二,82,98,53,70,61,79,50,70.0,丙
高一,66,85,100,87,91,63,69,85.0,乙
高三,86,81,63,92,90,71,70,81.0,丙
高二,67,87,76,76,92,95,97,87.0,乙
高一,77,74,68,74,77,81,66,74.0,丙
高一,93,56,51,91,99,66,53,66.0,丙
高三,55,68,100,51,89,98,73,73.0,丙
高二,91,76,58,70,68,94,99,76.0,丙
高一,94,77,67,63,59,59,79,67.0,丙
高二,95,68,77,61,96,73,64,73.0,丙
高一,83,57,77,50,68,56,61,61.0,丙
高一,60,77,99,52,85,59,58,60.0,丙
高一,63,75,90,59,59,95,95,75.0,丙
高一,52,83,99,54,64,70,92,70.0,丙
高二,60,75,94,59,75,94,63,75.0,丙
高二,78,88,59,87,60,84,83,83.0,丙
高一,90,90,59,75,63,96,72,75.0,丙
高三,53,73,75,89,79,74,52,74.0,丙
高二,63,100,53,64,54,57,91,63.0,丙
高一,97,67,69,66,61,68,84,68.0,丙
高二,77,83,83,51,92,76,75,77.0,丙
高三,74,88,64,71,61,54,56,64.0,丙
高三,90,83,58,72,56,61,50,61.0,丙
高三,84,51,83,77,64,57,94,77.0,丙
高一,93,92,99,64,56,92,66,92.0,甲
高一,57,99,58,81,64,58,90,64.0,丙
高三,88,86,92,94,83,94,62,88.0,乙
高三,50,55,63,79,76,95,93,76.0,丙
高一,92,74,82,80,60,59,58,74.0,丙
高三,71,53,94,76,82,100,73,76.0,丙
高一,86,58,68,69,70,91,65,69.0,丙
高二,84,65,97,96,90,87,68,87.0,乙
高二,94,98,53,85,55,60,53,60.0,丙
高二,62,79,86,99,54,83,60,79.0,丙
高一,85,54,58,99,89,77,63,77.0,丙
高一,56,63,50,76,79,76,56,63.0,丙
高三,100,100,76,98,87,71,50,87.0,乙
高二,77,100,61,56,60,97,99,77.0,丙
高二,56,62,59,83,87,59,64,62.0,丙
高二,65,72,94,78,88,61,65,72.0,丙
高一,58,81,74,80,54,56,69,69.0,丙
高三,98,56,100,71,97,65,86,86.0,乙
高三,96,78,64,74,76,58,93,76.0,丙
高三,74,64,61,55,71,59,63,63.0,丙
高三,71,86,54,56,88,93,74,74.0,丙
高一,60,80,91,53,67,94,78,78.0,丙
高二,62,73,82,86,79,98,63,79.0,丙
高一,55,81,79,71,77,60,69,71.0,丙
高一,100,85,69,54,59,75,63,69.0,丙
高一,81,86,79,100,100,99,74,86.0,乙
高二,97,87,93,71,99,56,99,93.0,甲
高三,50,84,55,50,67,57,84,57.0,丁
高三,60,74,71,76,57,66,79,71.0,丙
高二,99,96,92,76,78,98,93,93.0,甲
高三,58,66,54,50,55,65,78,58.0,丁
高三,95,71,82,79,60,59,56,71.0,丙
高一,91,90,55,80,69,92,92,90.0,甲
高一,75,94,61,68,99,56,52,68.0,丙
高三,61,100,62,55,82,100,99,82.0,丙
高一,96,85,88,93,58,98,85,88.0,乙
高二,99,69,63,50,77,73,59,69.0,丙
高二,82,58,68,75,69,80,78,75.0,丙
高三,75,78,58,61,95,58,88,75.0,丙
高三,65,54,93,56,63,53,55,56.0,丁
高二,83,76,99,53,53,88,67,76.0,丙
高二,71,68,85,77,86,94,51,77.0,丙
高二,78,83,91,78,50,97,78,78.0,丙
高一,58,67,60,64,98,89,97,67.0,丙
高三,63,56,88,60,92,64,99,64.0,丙
高一,54,66,51,63,87,74,73,66.0,丙
高一,61,52,82,58,95,79,54,61.0,丙
高三,56,74,69,61,58,84,78,69.0,丙
高二,72,58,86,66,92,56,94,72.0,丙
高一,55,85,83,76,52,77,92,77.0,丙
高三,79,67,76,73,96,61,59,73.0,丙
高二,87,95,91,76,86,77,82,86.0,乙
高二,90,88,53,87,70,85,65,85.0,乙
高三,90,75,80,64,97,57,69,75.0,丙
高一,72,98,79,98,62,87,54,79.0,丙
高三,68,100,77,59,52,100,68,68.0,丙
高三,70,93,76,51,92,62,60,70.0,丙
高二,80,77,92,86,82,73,81,81.0,丙
高一,98,59,83,96,84,87,84,84.0,丙
高二,74,97,73,71,98,66,94,74.0,丙
高三,84,85,91,59,99,90,66,85.0,乙
高三,61,80,66,50,70,94,54,66.0,丙
高三,88,98,94,73,84,57,78,84.0,丙
高三,93,53,58,67,91,84,70,70.0,丙
高二,56,96,55,100,80,90,58,80.0,丙
高一,88,63,62,93,64,68,86,68.0,丙
高二,83,65,82,50,75,98,76,76.0,丙
高二,64,61,77,70,87,78,69,70.0,丙
高二,99,92,80,50,57,55,84,80.0,丙
高二,74,94,55,78,75,94,99,78.0,丙
高三,66,72,79,91,88,67,58,72.0,丙
高二,60,84,90,57,58,74,89,74.0,丙
高三,79,99,98,66,64,50,94,79.0,丙
高一,98,77,98,95,55,57,85,85.0,乙
高一,96,84,69,60,94,97,76,84.0,丙
高三,84,91,61,64,91,95,95,91.0,甲
高一,63,68,68,81,95,67,72,68.0,丙
高二,65,79,65,54,51,52,81,65.0,丙
高二,90,54,94,82,51,62,90,82.0,丙
高一,90,61,73,71,68,57,71,71.0,丙
高二,59,76,56,92,98,62,73,73.0,丙
高一,74,71,96,54,65,55,66,66.0,丙
高三,87,75,99,97,76,70,55,76.0,丙
高二,58,60,65,78,80,78,100,78.0,丙
高二,81,94,59,91,96,85,56,85.0,乙
高一,60,93,50,83,100,68,60,68.0,丙
高二,74,63,99,99,74,51,88,74.0,丙
高三,52,94,84,69,79,64,77,77.0,丙
高三,64,54,50,72,80,84,86,72.0,丙
高二,73,66,52,65,100,60,70,66.0,丙
高二,90,69,74,83,75,70,70,74.0,丙
高二,55,57,82,94,74,86,63,74.0,丙
高三,58,85,67,64,73,61,98,67.0,丙
高三,55,77,94,63,72,52,68,68.0,丙
高一,83,51,92,64,93,97,68,83.0,丙
高三,98,65,62,72,94,58,70,70.0,丙
高三,63,79,79,63,65,79,97,79.0,丙
高三,69,52,54,69,86,96,70,69.0,丙
高一,58,77,62,93,85,67,61,67.0,丙
高一,53,89,55,84,89,73,75,75.0,丙
高一,87,69,62,52,60,62,61,62.0,丙
高二,89,65,98,88,50,96,87,88.0,乙
高二,56,58,62,65,96,79,94,65.0,丙
高一,80,58,91,71,67,88,70,71.0,丙
高二,100,55,63,79,65,68,61,65.0,丙
高二,96,69,71,99,71,65,80,71.0,丙
高三,57,91,63,67,65,57,60,63.0,丙
高一,72,62,75,50,72,53,92,72.0,丙
高一,52,72,66,72,74,97,53,72.0,丙
高三,95,50,98,78,82,65,98,82.0,丙
高二,96,82,60,67,80,84,79,80.0,丙
高一,66,99,69,57,66,61,79,66.0,丙
高二,57,70,67,96,62,51,95,67.0,丙
高一,84,95,65,70,92,58,89,84.0,丙
高二,94,95,58,91,51,92,76,91.0,甲
高三,52,85,92,55,53,94,79,79.0,丙
高一,92,87,87,59,69,60,82,82.0,丙
高二,63,79,84,61,99,71,92,79.0,丙
高一,50,55,97,50,60,88,93,60.0,丙
高二,83,65,80,76,91,96,72,80.0,丙
高一,95,77,97,70,71,87,54,77.0,丙
高二,92,55,94,86,84,59,85,85.0,乙
高二,99,86,54,53,73,81,75,75.0,丙
高三,97,87,61,59,61,74,77,74.0,丙
高三,99,99,74,74,84,70,63,74.0,丙
高二,94,73,61,69,74,97,100,74.0,丙
高一,90,56,92,53,55,93,85,85.0,乙
高二,73,80,94,64,71,69,57,71.0,丙
高一,74,86,68,98,84,85,85,85.0,乙
高一,68,60,66,72,88,57,68,68.0,丙
高一,83,95,73,56,74,51,96,74.0,丙
高二,74,92,85,54,85,88,67,85.0,乙
高三,55,91,92,79,94,72,60,79.0,丙
高二,100,50,60,63,61,65,76,63.0,丙
高三,91,66,75,90,78,94,91,90.0,甲
高二,72,51,57,100,70,91,65,70.0,丙
高二,88,62,86,85,75,53,97,85.0,乙
高一,95,70,92,83,83,89,68,83.0,丙
高二,56,85,51,75,59,78,69,69.0,丙
高二,78,83,64,99,86,77,87,83.0,丙
高一,96,97,61,94,53,70,92,92.0,甲
高一,72,81,91,96,82,87,68,82.0,丙
高三,61,98,78,58,61,81,79,78.0,丙
高一,89,66,79,70,70,71,79,71.0,丙
高一,56,72,91,53,75,64,79,72.0,丙
高二,80,78,93,52,77,55,70,77.0,丙
高三,99,77,73,72,95,68,70,73.0,丙
高二,70,77,65,88,74,61,73,73.0,丙
高二,84,88,79,59,51,88,71,79.0,丙
高三,59,65,95,91,92,63,53,65.0,丙
高二,60,78,68,96,71,91,96,78.0,丙
高三,92,77,90,96,94,50,61,90.0,甲
高二,64,55,64,60,59,74,82,64.0,丙
高二,72,57,72,87,70,84,92,72.0,丙
高一,69,96,50,88,66,51,92,69.0,丙
高二,70,70,65,55,94,57,87,70.0,丙
高二,96,69,95,64,73,91,66,73.0,丙
高二,84,84,73,50,79,91,60,79.0,丙
高三,66,58,67,75,75,88,80,75.0,丙
高二,79,56,84,68,68,82,78,78.0,丙
高一,75,77,100,96,70,92,59,77.0,丙
高三,79,81,74,67,61,85,59,74.0,丙
高二,92,53,50,88,92,56,53,56.0,丁
高二,77,77,89,93,69,86,63,77.0,丙
高一,65,74,78,72,75,93,67,74.0,丙
高一,94,67,91,65,64,64,83,67.0,丙
高二,67,53,96,84,93,93,69,84.0,丙
高一,98,54,81,74,100,82,50,81.0,丙
高二,86,97,52,66,64,73,88,73.0,丙
高三,77,65,51,61,73,79,61,65.0,丙
高二,85,51,94,61,99,99,87,87.0,乙
高一,80,60,67,99,78,85,54,78.0,丙
高一,84,59,95,53,97,99,87,87.0,乙
高二,92,92,90,53,54,68,58,68.0,丙
高三,63,74,67,57,80,64,69,67.0,丙
高二,51,99,73,78,59,53,73,73.0,丙
